LOCATION,Country,INDICATOR,Indicator,MEASURE,Measure,INEQUALITY,Inequality,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
DNK,Denmark,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,24.0,,
FIN,Finland,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,22.0,,
FRA,France,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,21.0,,
DEU,Germany,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,21.0,,
GRC,Greece,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,25.0,,
HUN,Hungary,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,20.0,,
ISL,Iceland,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,24.0,E,Estimated value
IRL,Ireland,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,19.0,,
ITA,Italy,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,24.0,,
JPN,Japan,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,22.0,,
KOR,Korea,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,16.0,,
LUX,Luxembourg,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,21.0,E,Estimated value
MEX,Mexico,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,21.0,,
NLD,Netherlands,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,19.0,,
NZL,New Zealand,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,23.0,E,Estimated value
NOR,Norway,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,17.0,,
POL,Poland,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,21.0,E,Estimated value
PRT,Portugal,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,19.0,,
SVK,Slovak Republic,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,26.0,,
ESP,Spain,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,22.0,,
SWE,Sweden,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,20.0,,
CHE,Switzerland,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,22.0,,
TUR,Turkey,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,21.0,E,Estimated value
GBR,United Kingdom,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,23.0,,
USA,United States,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,18.0,,
BRA,Brazil,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,21.0,E,Estimated value
CHL,Chile,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,18.0,,
EST,Estonia,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,19.0,,
ISR,Israel,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,21.0,E,Estimated value
RUS,Russia,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,11.0,,
SVN,Slovenia,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,20.0,,
OECD,OECD - Total,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,18.0,,
AUS,Australia,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,20.0,E,Estimated value
AUT,Austria,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,21.0,E,Estimated value
BEL,Belgium,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,21.0,E,Estimated value
CAN,Canada,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,21.0,E,Estimated value
CZE,Czech Republic,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,26.0,E,Estimated value
DNK,Denmark,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,24.0,E,Estimated value
FIN,Finland,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,22.0,E,Estimated value
FRA,France,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,21.0,E,Estimated value
DEU,Germany,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,21.0,E,Estimated value
GRC,Greece,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,25.0,E,Estimated value
HUN,Hungary,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,20.0,E,Estimated value
ISL,Iceland,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,24.0,E,Estimated value
IRL,Ireland,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,19.0,E,Estimated value
ITA,Italy,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,24.0,E,Estimated value
JPN,Japan,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,22.0,E,Estimated value
KOR,Korea,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,16.0,E,Estimated value
LUX,Luxembourg,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,21.0,E,Estimated value
MEX,Mexico,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,21.0,E,Estimated value
NLD,Netherlands,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,19.0,E,Estimated value
NZL,New Zealand,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,23.0,E,Estimated value
NOR,Norway,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,17.0,E,Estimated value
POL,Poland,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,21.0,E,Estimated value
PRT,Portugal,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,19.0,E,Estimated value
SVK,Slovak Republic,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,26.0,E,Estimated value
ESP,Spain,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,22.0,E,Estimated value
SWE,Sweden,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,20.0,E,Estimated value
CHE,Switzerland,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,22.0,E,Estimated value
TUR,Turkey,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,21.0,E,Estimated value
GBR,United Kingdom,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,23.0,E,Estimated value
USA,United States,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,18.0,E,Estimated value
BRA,Brazil,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,21.0,E,Estimated value
CHL,Chile,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,18.0,E,Estimated value
EST,Estonia,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,19.0,E,Estimated value
ISR,Israel,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,21.0,E,Estimated value
RUS,Russia,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,11.0,E,Estimated value
SVN,Slovenia,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,20.0,E,Estimated value
AUS,Australia,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,20.0,E,Estimated value
AUT,Austria,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,21.0,E,Estimated value
BEL,Belgium,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,21.0,E,Estimated value
CAN,Canada,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,21.0,E,Estimated value
CZE,Czech Republic,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,26.0,E,Estimated value
DNK,Denmark,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,24.0,E,Estimated value
FIN,Finland,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,22.0,E,Estimated value
FRA,France,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,21.0,E,Estimated value
DEU,Germany,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,21.0,E,Estimated value
GRC,Greece,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,25.0,E,Estimated value
HUN,Hungary,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,20.0,E,Estimated value
ISL,Iceland,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,24.0,E,Estimated value
IRL,Ireland,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,19.0,E,Estimated value
ITA,Italy,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,24.0,E,Estimated value
JPN,Japan,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,22.0,E,Estimated value
KOR,Korea,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,16.0,E,Estimated value
LUX,Luxembourg,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,21.0,E,Estimated value
MEX,Mexico,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,21.0,E,Estimated value
NLD,Netherlands,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,19.0,E,Estimated value
NZL,New Zealand,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,23.0,E,Estimated value
NOR,Norway,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,17.0,E,Estimated value
POL,Poland,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,21.0,E,Estimated value
PRT,Portugal,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,19.0,E,Estimated value
SVK,Slovak Republic,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,26.0,E,Estimated value
ESP,Spain,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,22.0,E,Estimated value
SWE,Sweden,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,20.0,E,Estimated value
CHE,Switzerland,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,22.0,E,Estimated value
TUR,Turkey,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,21.0,E,Estimated value
GBR,United Kingdom,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,23.0,E,Estimated value
USA,United States,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,18.0,E,Estimated value
BRA,Brazil,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,21.0,E,Estimated value
CHL,Chile,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,18.0,E,Estimated value
EST,Estonia,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,19.0,E,Estimated value
ISR,Israel,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,21.0,E,Estimated value
RUS,Russia,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,11.0,E,Estimated value
SVN,Slovenia,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,20.0,E,Estimated value
AUS,Australia,HO_NUMR,Rooms per person,L,Value,TOT,Total,RATIO,Ratio,0,units,,,2.3,E,Estimated value
AUT,Austria,HO_NUMR,Rooms per person,L,Value,TOT,Total,RATIO,Ratio,0,units,,,1.6,,
BEL,Belgium,HO_NUMR,Rooms per person,L,Value,TOT,Total,RATIO,Ratio,0,units,,,2.2,,
CAN,Canada,HO_NUMR,Rooms per person,L,Value,TOT,Total,RATIO,Ratio,0,units,,,2.5,,
CZE,Czech Republic,HO_NUMR,Rooms per person,L,Value,TOT,Total,RATIO,Ratio,0,units,,,1.4,,
DNK,Denmark,HO_NUMR,Rooms per person,L,Value,TOT,Total,RATIO,Ratio,0,units,,,1.9,,
